DATE,HEADLINE
"Thursday February 14, 2019 ","JPMorgan Chase Announces JPM Coin, Becomes First Big US Bank With Own Cryptocurrency"
"Monday February 11, 2019 ",Software Engineer Loses Life Savings in Quadriga Imbroglio
"Sunday February 10, 2019 ",Google Play Caught Hosting An App That Steals Users' Cryptocurrency
"Friday February 01, 2019 ", Binance Users Can Now Pay for Cryptocurrency With Credit Cards
"Thursday January 17, 2019 ","Professors From 7 US Colleges, Including MIT and Stanford, Have Teamed Up To Design a Cryptocurrency Capable Of Processing Thousands of Transactions a Second"
"Sunday January 13, 2019 ","Google Reportedly Blacklists 'Ethereum' As a Google Ad Keyword, Startup Claims"
"Tuesday January 08, 2019 ",Coinbase Suspends Ethereum Classic (ETC) Trading After Double-Spend Attacks
"Friday January 04, 2019 ",Ethereum Plans To Cut Its Absurd Energy Consumption By 99 Percent
"Thursday January 03, 2019 ","BitTorrent Loses Recent CEO, Adds Crypto-Currency To uTorrent"
"Friday December 21, 2018 ","Facebook Is Developing a Cryptocurrency for WhatsApp Transfers, Report Says"
"Thursday December 13, 2018 ",Ranks of Crypto Users Swelled in 2018 Even as Bitcoin Tumbled
"Thursday December 13, 2018 ",Ethereum Thinks it Can Change the World. It's Running Out of Time To Prove It.
"Thursday December 13, 2018 ",'Cryptocurrencies Are Like Lottery Tickets That Might Pay Off in Future'
"Friday December 07, 2018 ",DHS Looking Into Tracking Monero and Zcash Transactions
"Thursday November 29, 2018 ","Floyd Mayweather, DJ Khaled Charged For Illegally Touting Crypto Offerings"
"Friday November 23, 2018 ",New Linux Crypto-miner Steals Your Root Password and Disables Your Antivirus
"Monday November 19, 2018 ","Bitcoin Falls Below $5,000 For First Time Since October 2017"
"Wednesday November 14, 2018 ","Bitcoin Plummets Under $6,000 To a New Low For the Year"
"Tuesday November 13, 2018 ",Corporate America's Blockchain and Bitcoin Fever is Over
"Wednesday November 07, 2018 ","Police Decrypt 258,000 Messages After Breaking Pricey IronChat Crypto App"
"Monday November 05, 2018 ",Energy Cost of 'Mining' Bitcoin More Than Twice That of Copper Or Gold
"Friday November 02, 2018 ",A Cryptocurrency Millionaire Wants to Build a Utopia in Nevada
"Friday November 02, 2018 ",Ethereum Founder Vitalik Buterin Says His Creation Can't Succeed Unless He Takes a Step Back
"Friday October 26, 2018 ",Chinese Court Rules Bitcoin Should Be Protected As Property
"Thursday October 25, 2018 ",Japan Grants Cryptocurrency Industry Self-Regulatory Status
"Tuesday October 23, 2018 ",Coinbase Lets You Buy and Sell USDC Stablecoin
"Sunday October 21, 2018 ","Armenia Opens $50 Million Bitcoin, Ethereum Mining Farm"
"Thursday October 11, 2018 ",CoinMiners Use New Tricks To Impersonate Adobe Flash Installers
