DATE,HEADLINE
"Saturday February 02, 2019 ",FBI Confiscates Six Drones Near Super Bowl Stadium
"Tuesday January 29, 2019 ",Ask Slashdot: What Could Go Wrong In Tech That Hasn't Already Gone Wrong?
"Sunday January 27, 2019 ",Pentagon Documents the Military's Growing Domestic Drone Use
"Thursday January 24, 2019 ",Bangkok Fights Air Pollution With Water-Spraying Drones
"Friday January 18, 2019 ",Inside DJI's 'Robomasters' Robotics Competition
"Monday January 14, 2019 ","Trump Administration Proposes Rules Allowing Drones To Operate At Night, Over Populated Areas"
"Wednesday January 09, 2019 ",Wireless Tech Company Finds Way To Charge Drones In Flight
"Tuesday January 08, 2019 ",London's Heathrow Airport Halts Departures Over Drone Sighting
"Sunday December 30, 2018 ",NYPD Deploying Drone for First Time To Secure New Year's Party
"Tuesday December 25, 2018 ",UK Now Has Systems To Combat Drones
"Thursday December 20, 2018 ","Over 110,000 Passengers on 760 Flights Disrupted by Drones Flying Over One of the UK's Busiest Airports"
"Sunday December 16, 2018 ","50 Years On, We're Living the Reality First Shown At the 'Mother of All Demos'"
"Tuesday December 04, 2018 ",Amazon Promised Drone Delivery In Five Years Five Years Ago
"Monday November 19, 2018 ",Maryland Test Confirms Drones Can Safely Deliver Human Organs
"Tuesday November 13, 2018 ",The British Army is Carrying Out a Massive Test of Military Robots and Drones
"Monday November 12, 2018 ",The Problem Behind a Viral Video of a Persistent Baby Bear
"Thursday November 08, 2018 ",Vulnerability Could Make DJI Drones a Spy In the Sky
"Tuesday October 23, 2018 ",Uber Planning Fleet of Food Delivery Drones 'As Soon As 2021'
"Monday October 08, 2018 ",FAA Moves Toward Treating Drones and Planes As Equals
"Thursday October 04, 2018 ",Senate Passes Bill That Lets the Government Destroy Private Drones
"Monday September 24, 2018 ",Greece Uses High-Tech Drones To Fight Tax Evasion In Holiday Hotspots
"Friday September 14, 2018 ",Drone Startup Airware Is Shutting Down After Raising $118 Million
"Tuesday September 04, 2018 ",The US Army is Building Drones That Never Need To Land
"Friday August 31, 2018 ",Boeing Wins Bid To Build the Navy's Carrier-Launched Tanker Drone
"Thursday August 09, 2018 ",Airbus' Solar-Powered Zephyr Smashes Flight Duration Record on Maiden Outing
"Wednesday August 08, 2018 ",Engineers Teach a Drone To Herd Birds Away From Airports Autonomously
"Saturday August 04, 2018 ",Venezuelan President Survives Drone Assassination Attempt
"Wednesday July 04, 2018 ", 500 Intel Drones To Replace Fireworks Above Travis Air Force Base For Fourth of July
"Thursday June 28, 2018 ",Colorado Lawmakers Want To Make It a Felony To Fly a Drone Over a Wildfire
"Tuesday June 26, 2018 ",Facebook Cancels Program To Deliver Internet By Aquila Drones
"Friday June 01, 2018 ",Leaked Emails Show Google Expected Military Drone AI Work To Grow Exponentially
"Wednesday May 16, 2018 ",A Fleet of Sailing Robots Sets Out To Quantify the Oceans
"Wednesday May 09, 2018 ",Trump Administration Approves 10 New Drone Projects Around the Country
"Friday May 04, 2018 ",Criminals Used a Fleet of Drones To Disrupt an FBI Hostage Operation
"Thursday May 03, 2018 ",China's Bungled Drone Display Breaks World Record
"Thursday April 05, 2018 ",EFF: Google Should Not Help the US Military Build Unaccountable AI Systems
"Tuesday April 03, 2018 ","Russia Debuts Postal Drone, Which Immediately Crashes Into Wall"
"Tuesday April 03, 2018 ",The World's Fastest Delivery Drone Takes Off
"Monday March 12, 2018 ",Coming Soon to a Front Porch Near You: Package Delivery Via Drone
"Thursday March 08, 2018 ",'Personal Drone' Crash Causes 335-Acre Wildfire In Coconino National Forest
"Tuesday March 06, 2018 ",Google Is Helping the Pentagon Build AI for Drones
"Tuesday February 06, 2018 ",Drones Could Soon Be Used To Deliver Medical Supplies in North Carolina
"Saturday January 27, 2018 ","'No Drones or Driverless Trucks', Demands Teamsters Labor Union"
"Tuesday January 23, 2018 ",DJI's New Mavic Air Drone Is a Beefed-Up Spark With 4K Video Support
"Thursday January 18, 2018 ",Lifesaving Drone Makes First Rescue In Australia
"Sunday January 14, 2018 ",Russian Military Base Attacked By Drones
"Saturday December 30, 2017 ",How A Civilian Drone Crashed Into the US Army's Helicopter
"Friday December 15, 2017 ",China Will Spend $3.3 Billion to Research Molten Salt Nuclear-Powered Drones
